var_name, type, width, decimals, label,
StartDate, Date, 20, 0, Start Date, 
EndDate, Date, 20, 0, End Date, 
Status, Numeric, 40, 0, Response Type, 
Progress, Numeric, 40, 2, Progress, 
Duration__in_seconds_, Numeric, 40, 2, Duration (in seconds), 
RecordedDate, Date, 20, 0, Recorded Date, 
ResponseId, String, 50, 0, Response ID, 
DistributionChannel, String, 255, 0, Distribution Channel, 
UserLanguage, String, 255, 0, User Language, 
Finished, Numeric, 40, 0, Finished, 
NMiss, Numeric, 8, 2, , 
Q55, Numeric, 40, 0, Are you a woman living in the United States?, 
Q24, Numeric, 40, 0, Palo Alto University: Consent to be a Research Participant   The Women?s Social Attitudes Study     We would like to invite you to take part in a research project., 
Q1_1_Con, Numeric, 40, 0, FPS1(Con): Given the way that men are, women have a responsibility not to arouse them by their dress and actions., 
Q1_2_Rad, Numeric, 40, 0, FPS2(Rad): Pornography exploits female sexuality and degrades all women, 
Q1_3_Wom, Numeric, 40, 0, FPS3(Wom): In education and legislation to stop rape, ethnicity and race must be treated sensitively to ensure that women of color are protected equally., 
Q1_4_Con, Numeric, 40, 0, FPS4(Con): Women should not be direct participants in government because they are too emotional., 
Q1_5_Lib, Numeric, 40, 0, FPS5(Lib): Whether one chooses a traditional or alternative family form should be a matter of personal choice., 
Q1_6_Lib, Numeric, 40, 0, FPS6(Lib): People should define their marriage and family roles in ways that make them feel most comfortable., 
Q1_7_Lib, Numeric, 40, 0, FPS7(Lib): The government is responsible for making sure that all women receive an equal chance at education and employment., 
Q1_8_Wom, Numeric, 40, 0, FPS8(Wom): Racism and sexism may double the oppression of women in the work environment., 
Q1_9_Cul, Numeric, 40, 0, FPS9(Cul): Prostitution grows out of the male culture of violence and male values of social control., 
Q1_10_Soc, Numeric, 40, 0, FPS10(Soc): Capitalism and sexism are primarily responsible for the increased divorce rate and general breakdown of families., 
Q2_1_Cul, Numeric, 40, 0, FPS11(Cul): Replacing the word God with Goddess will remind people that the deity is not male., 
Q2_2_Wom, Numeric, 40, 0, FPS12(Wom): Women of color have less legal and social service protection from being battered than White women have., 
Q2_3_Con, Numeric, 40, 0, FPS13(Con): A man's first responsibility is to obtain economic success, while his wife should care for the family's needs., 
Q2_4_Cul, Numeric, 40, 0, FPS14(Cul): Men should follow women's lead in religious matters, because women have a higher regard for peace than men., 
Q2_5_Rad, Numeric, 40, 0, FPS15(Rad): Using 'man' to mean both men and women is one of the many ways sexist language destroys women's existence., 
Q2_6_Rad, Numeric, 40, 0, FPS16(Rad): Sex role stereotypes are only one symptom of the larger system of patriarchal power which is the true source of women's subordination., 
Q2_7_Con, Numeric, 40, 0, FPS17(Con): Homosexuals need to be rehabilitated into normal members of society., 
Q2_8_Rad, Numeric, 40, 0, FPS18(Rad): The workplace is organized around men's physical, economic, and sexual oppression of women., 
Q2_9_Rad, Numeric, 40, 0, FPS19(Rad): Men's control over women forces women to be the primary caretakers of children., 
Q2_10_Soc, Numeric, 40, 0, FPS20(Soc): Making women economically dependent on men is capitalism's subtle way of encouraging heterosexual relationships., 
Q4_1_Wom, Numeric, 40, 0, FPS21(Wom): Women of color are oppressed by White standards of beauty., 
Q4_2_Lib, Numeric, 40, 0, FPS22(Lib): The availability of adequate child care is central to a woman's right to work outside the home., 
